model_no,chipset,memory,memory_type,core_clock,boost_clock
40529,GeForce RTX 3080 10GB LHR,10,,1440,1830
40530,GeForce GTX 1650 G5,4,,1485,1740
40531,Arc A750,8,,2200,2400
40532,GeForce GTX 1660 SUPER,6,,1530,1785
40533,Radeon RX 5600 XT,6,,1247,1750
40534,GeForce RTX 3060 Ti,8,,1665,1755
40535,GeForce RTX 3060 12GB,12,,1320,1912
40536,GeForce RTX 3060 Ti LHR,8,,1410,1695
40537,GeForce GTX 1660 Ti,6,,1500,1830
40538,Radeon RX 580,8,,1257,1366
40539,Radeon RX 6750 XT,12,,2150,2618
40540,GeForce RTX 4080,16,,2205,2625
40541,GeForce RTX 4070 Ti SUPER,16,,2340,2640
40542,GeForce RTX 3070 Ti,8,,1575,1800
40543,GeForce RTX 4090,24,,2235,2610
40544,GeForce RTX 3050 8GB,8,,1550,1807
40545,GeForce RTX 4080 SUPER,16,,2210,2550
40546,GeForce RTX 4070 Ti SUPER,16,,2340,2640
40547,GeForce RTX 3070,8,,1500,1755
