model_no,type,psu,side_panel,external_volume,internal_35_bays
14544,ATX Mid Tower,ATX,Acrylic,49.6,3
14545,ATX Mid Tower,ATX,Tempered Glass,79.3,6
14546,ATX Mid Tower,ATX,Acrylic,43.9,2
14547,ATX Mid Tower,ATX,Acrylic,43.4,3
14548,ATX Mid Tower,ATX,Tempered Glass,43.4,3
14549,ATX Mid Tower,ATX,Tempered Glass,43.4,3
14550,ATX Mid Tower,ATX,Acrylic,,3
14551,ATX Mid Tower,ATX,,52.9,3
14552,ATX Mid Tower,ATX,Acrylic,70.1,5
14553,ATX Mid Tower,ATX,Acrylic,,2
14554,ATX Mid Tower,ATX,Tempered Glass,,3
14555,ATX Desktop,ATX,Tempered Glass,48,3
14556,ATX Desktop,ATX,Tempered Glass,48,3
14557,ATX Mid Tower,ATX,Tempered Glass,51.5,3
14558,ATX Mid Tower,ATX,Tempered Glass,51.5,3
14559,MicroATX Mini Tower,ATX,,12.1,1
14560,ATX Mid Tower,ATX,Tempered Glass,40.8,3
14561,ATX Mid Tower,ATX,Tempered Glass,,2
14562,ATX Mid Tower,ATX,Tempered Glass,,2
14563,ATX Mid Tower,ATX,Tempered Glass,48.3,2
14564,ATX Mid Tower,ATX,Tempered Glass,48.3,2
14565,ATX Mid Tower,ATX,Acrylic,39.3,2
14566,ATX Mid Tower,ATX,Tempered Glass,45.3,2
14567,ATX Mid Tower,ATX,,,4
14568,ATX Full Tower,ATX,Acrylic,,6
14569,ATX Full Tower,ATX,Acrylic,,6
14570,ATX Mid Tower,ATX,,,3
14571,HTPC,,,23.3,2
14572,ATX Mid Tower,ATX,Tempered Glass,,2
14573,ATX Mid Tower,ATX,Acrylic,,2
14574,ATX Mid Tower,ATX,Acrylic,34.8,2
14575,ATX Mid Tower,ATX,Tempered Glass,,2
14576,ATX Mid Tower,ATX,Tempered Glass,,2
14577,ATX Mid Tower,ATX,Tempered Glass,48.6,2
14578,ATX Mid Tower,ATX,,,3
14579,ATX Desktop,ATX,,,8
14580,MicroATX Desktop,ATX,Acrylic,,3
14581,MicroATX Desktop,ATX,Acrylic,,3
14582,ATX Full Tower,ATX,Acrylic,,4
14583,Mini ITX Desktop,SFX,,,1
14584,ATX Mid Tower,ATX,Tempered Glass,51.3,2
14585,ATX Mid Tower,ATX,Tempered Glass,,2
14586,Mini ITX Tower,SFX,Tempered Glass,20.4,0
14587,Mini ITX Desktop,SFX,,,2
14588,ATX Mid Tower,ATX,Acrylic,32.6,2
14589,ATX Mid Tower,ATX,Acrylic,,2
14590,MicroATX Mini Tower,ATX,Acrylic,,2
14591,ATX Mid Tower,ATX,Acrylic,38.3,3
14592,ATX Mid Tower,ATX,Acrylic,,2
14593,ATX Mid Tower,ATX,Acrylic,,2
14594,ATX Mid Tower,ATX,Acrylic,,2
14595,ATX Mid Tower,ATX,,,2
14596,ATX Mid Tower,ATX,Tempered Glass,,2
14597,ATX Mid Tower,ATX,Tempered Glass,,2
14598,ATX Mid Tower,ATX,Tempered Glass,,2
14599,ATX Mid Tower,ATX,Tempered Glass,,5
14600,Mini ITX Tower,SFX,,,1
14601,Mini ITX Tower,SFX,,,1
